"model","dataset_id","rho_X","replicate","RMSE","R2","R2_true"
"lm","rho60_rep001",0.6,1,1.08021894935909,0.273170259514314,0.5
"xgboost","rho60_rep001",0.6,1,1.09419326705114,0.257932164301868,0.5
"lm","rho60_rep002",0.6,2,1.12365757325837,0.296880489426006,0.5
"xgboost","rho60_rep002",0.6,2,1.17020054659693,0.165025760640889,0.5
"lm","rho60_rep003",0.6,3,1.18261939038499,0.270907257370951,0.5
"xgboost","rho60_rep003",0.6,3,1.24649787279589,0.191413064573277,0.5
"lm","rho60_rep004",0.6,4,1.03811746597447,0.355630705345029,0.5
"xgboost","rho60_rep004",0.6,4,1.19903795347019,0.177084554770579,0.5
"lm","rho60_rep005",0.6,5,1.04779688531618,0.301265376655003,0.5
"xgboost","rho60_rep005",0.6,5,1.04982500946213,0.254029812650822,0.5
"lm","rho60_rep006",0.6,6,1.17860548684977,0.242453000756845,0.5
"xgboost","rho60_rep006",0.6,6,1.27956837544107,0.190825486434727,0.5
"lm","rho60_rep007",0.6,7,1.13823991891381,0.309428854782977,0.5
"xgboost","rho60_rep007",0.6,7,1.18198951581928,0.207765347718428,0.5
"lm","rho60_rep008",0.6,8,1.13662664861535,0.287510599431331,0.5
"xgboost","rho60_rep008",0.6,8,1.12483320159772,0.221846888309497,0.5
"lm","rho60_rep009",0.6,9,1.14207181719205,0.267106078260338,0.5
"xgboost","rho60_rep009",0.6,9,1.28098131740512,0.190608739529331,0.5
"lm","rho60_rep010",0.6,10,1.03713227361316,0.270945888515249,0.5
"xgboost","rho60_rep010",0.6,10,1.05930537881358,0.217038617422257,0.5
"lm","rho60_rep011",0.6,11,1.08924376853624,0.355937763050782,0.5
"xgboost","rho60_rep011",0.6,11,1.21050297643012,0.191998433383764,0.5
"lm","rho60_rep012",0.6,12,1.20054326906935,0.216355068356368,0.5
"xgboost","rho60_rep012",0.6,12,1.22122255356753,-0.000652330901368847,0.5
"lm","rho60_rep013",0.6,13,1.14851291127985,0.294160425198918,0.5
"xgboost","rho60_rep013",0.6,13,1.29798871673226,0.149173526941157,0.5
"lm","rho60_rep014",0.6,14,1.04982558759392,0.296363768744315,0.5
"xgboost","rho60_rep014",0.6,14,1.16195885858115,0.137453927769274,0.5
