"dataset_id","model","score_type","N","n_train","n_test","seed_split","R2_target","RMSE","R2"
"cfa_2x3_rep001","lm","items",1000,700,300,1335,0.32,1.05932860474145,0.301682279944305
"cfa_2x3_rep001","xgboost","items",1000,700,300,1335,0.32,1.13035759382245,0.204897029520795
"cfa_2x3_rep001","lm","sum",1000,700,300,1335,0.32,1.06808561563213,0.290089179167512
"cfa_2x3_rep001","xgboost","sum",1000,700,300,1335,0.32,1.1003385593666,0.24656753811116
"cfa_2x3_rep001","lm","factor",1000,700,300,1335,0.32,1.05797659439373,0.303463654082123
"cfa_2x3_rep001","xgboost","factor",1000,700,300,1335,0.32,1.12156429145229,0.21721947746838
"cfa_2x3_rep001","lm","all",1000,700,300,1335,0.32,1.05932860474145,0.301682279944305
"cfa_2x3_rep001","xgboost","all",1000,700,300,1335,0.32,1.1259365380528,0.211104481530628
"cfa_2x3_rep002","lm","items",1000,700,300,1336,0.32,1.0737446193293,0.286822013688843
"cfa_2x3_rep002","xgboost","items",1000,700,300,1336,0.32,1.15743251523235,0.171319183039212
"cfa_2x3_rep002","lm","sum",1000,700,300,1336,0.32,1.07844738124082,0.280561212209055
"cfa_2x3_rep002","xgboost","sum",1000,700,300,1336,0.32,1.12428780220023,0.218100516954234
"cfa_2x3_rep002","lm","factor",1000,700,300,1336,0.32,1.07170016797224,0.289535265194907
"cfa_2x3_rep002","xgboost","factor",1000,700,300,1336,0.32,1.19821701778623,0.111889724194831
"cfa_2x3_rep002","lm","all",1000,700,300,1336,0.32,1.0737446193293,0.286822013688843
"cfa_2x3_rep002","xgboost","all",1000,700,300,1336,0.32,1.19960890118332,0.10982521684653
"cfa_2x3_rep003","lm","items",1000,700,300,1337,0.32,1.14332182494772,0.249023867624166
"cfa_2x3_rep003","xgboost","items",1000,700,300,1337,0.32,1.18523894283213,0.192949015521786
"cfa_2x3_rep003","lm","sum",1000,700,300,1337,0.32,1.1445664201505,0.247387985237778
"cfa_2x3_rep003","xgboost","sum",1000,700,300,1337,0.32,1.21900693604494,0.146307432837683
"cfa_2x3_rep003","lm","factor",1000,700,300,1337,0.32,1.14015199257421,0.253182221830975
"cfa_2x3_rep003","xgboost","factor",1000,700,300,1337,0.32,1.22582232724965,0.136734864588787
"cfa_2x3_rep003","lm","all",1000,700,300,1337,0.32,1.14332182494772,0.249023867624166
"cfa_2x3_rep003","xgboost","all",1000,700,300,1337,0.32,1.17776034049435,0.203101519716267
"cfa_2x3_rep004","lm","items",1000,700,300,1338,0.32,1.11689669225833,0.285443694683156
"cfa_2x3_rep004","xgboost","items",1000,700,300,1338,0.32,1.21791709358663,0.150338581766726
"cfa_2x3_rep004","lm","sum",1000,700,300,1338,0.32,1.10729458409683,0.297677150930494
"cfa_2x3_rep004","xgboost","sum",1000,700,300,1338,0.32,1.16487163716125,0.222739516700205
"cfa_2x3_rep004","lm","factor",1000,700,300,1338,0.32,1.10937707206096,0.295032950847578
"cfa_2x3_rep004","xgboost","factor",1000,700,300,1338,0.32,1.23740970899776,0.122923479818524
"cfa_2x3_rep004","lm","all",1000,700,300,1338,0.32,1.11689669225833,0.285443694683156
"cfa_2x3_rep004","xgboost","all",1000,700,300,1338,0.32,1.21689213842632,0.151768068905835
"cfa_2x3_rep005","lm","items",1000,700,300,1339,0.32,1.07265855683223,0.221491723029611
"cfa_2x3_rep005","xgboost","items",1000,700,300,1339,0.32,1.16623337323344,0.0797386946717791
"cfa_2x3_rep005","lm","sum",1000,700,300,1339,0.32,1.07517717846899,0.217831528017251
"cfa_2x3_rep005","xgboost","sum",1000,700,300,1339,0.32,1.19521031479118,0.0334398269957208
"cfa_2x3_rep005","lm","factor",1000,700,300,1339,0.32,1.07114742069123,0.223683666255247
"cfa_2x3_rep005","xgboost","factor",1000,700,300,1339,0.32,1.22369640617137,-0.0131823142173007
"cfa_2x3_rep005","lm","all",1000,700,300,1339,0.32,1.07265855683223,0.221491723029611
"cfa_2x3_rep005","xgboost","all",1000,700,300,1339,0.32,1.18637464707667,0.0476777187021562
"cfa_2x3_rep006","lm","items",1000,700,300,1340,0.32,1.10364660524256,0.206823928367374
"cfa_2x3_rep006","xgboost","items",1000,700,300,1340,0.32,1.15085910291013,0.137510424070671
"cfa_2x3_rep006","lm","sum",1000,700,300,1340,0.32,1.09298311974131,0.222077290446296
"cfa_2x3_rep006","xgboost","sum",1000,700,300,1340,0.32,1.13059493385316,0.16761621658313
"cfa_2x3_rep006","lm","factor",1000,700,300,1340,0.32,1.10723821749285,0.201653040702274
"cfa_2x3_rep006","xgboost","factor",1000,700,300,1340,0.32,1.19110280561832,0.0761360183867286
"cfa_2x3_rep006","lm","all",1000,700,300,1340,0.32,1.10364660524256,0.206823928367374
"cfa_2x3_rep006","xgboost","all",1000,700,300,1340,0.32,1.17393114837834,0.102581965900474
"cfa_2x3_rep007","lm","items",1000,700,300,1341,0.32,1.03253681427601,0.259843420498134
"cfa_2x3_rep007","xgboost","items",1000,700,300,1341,0.32,1.14030296132219,0.0972800958390956
"cfa_2x3_rep007","lm","sum",1000,700,300,1341,0.32,1.01626353600065,0.282990020398933
"cfa_2x3_rep007","xgboost","sum",1000,700,300,1341,0.32,1.10642757468616,0.150118265218776
"cfa_2x3_rep007","lm","factor",1000,700,300,1341,0.32,1.02387530173317,0.272209055027936
"cfa_2x3_rep007","xgboost","factor",1000,700,300,1341,0.32,1.09312354944547,0.170433864359811
"cfa_2x3_rep007","lm","all",1000,700,300,1341,0.32,1.03253681427601,0.259843420498134
"cfa_2x3_rep007","xgboost","all",1000,700,300,1341,0.32,1.12486360959759,0.121559706527581
"cfa_2x3_rep008","lm","items",1000,700,300,1342,0.32,1.05089576917777,0.19965170878068
"cfa_2x3_rep008","xgboost","items",1000,700,300,1342,0.32,1.13489289070114,0.0665963694536051
"cfa_2x3_rep008","lm","sum",1000,700,300,1342,0.32,1.04078268088329,0.214981578209942
"cfa_2x3_rep008","xgboost","sum",1000,700,300,1342,0.32,1.11158812723877,0.104537230910186
"cfa_2x3_rep008","lm","factor",1000,700,300,1342,0.32,1.03987701116424,0.216347200623266
"cfa_2x3_rep008","xgboost","factor",1000,700,300,1342,0.32,1.13121724576898,0.0726327178824439
"cfa_2x3_rep008","lm","all",1000,700,300,1342,0.32,1.05089576917777,0.19965170878068
"cfa_2x3_rep008","xgboost","all",1000,700,300,1342,0.32,1.13393593317394,0.0681698237354719
"cfa_2x3_rep009","lm","items",1000,700,300,1343,0.32,1.0734045330719,0.350110215906857
"cfa_2x3_rep009","xgboost","items",1000,700,300,1343,0.32,1.20316015896687,0.18349331473159
"cfa_2x3_rep009","lm","sum",1000,700,300,1343,0.32,1.07368152955767,0.349774759128216
"cfa_2x3_rep009","xgboost","sum",1000,700,300,1343,0.32,1.1423064673961,0.263999462646179
"cfa_2x3_rep009","lm","factor",1000,700,300,1343,0.32,1.07333436190293,0.350195183007034
"cfa_2x3_rep009","xgboost","factor",1000,700,300,1343,0.32,1.16650324828581,0.232488723302737
"cfa_2x3_rep009","lm","all",1000,700,300,1343,0.32,1.0734045330719,0.350110215906857
"cfa_2x3_rep009","xgboost","all",1000,700,300,1343,0.32,1.21000770146431,0.174172902332335
"cfa_2x3_rep010","lm","items",1000,700,300,1344,0.32,1.04053271873365,0.221602202726141
"cfa_2x3_rep010","xgboost","items",1000,700,300,1344,0.32,1.04734763576954,0.211372658184144
"cfa_2x3_rep010","lm","sum",1000,700,300,1344,0.32,1.05264642474961,0.203372753593207
"cfa_2x3_rep010","xgboost","sum",1000,700,300,1344,0.32,1.10828312987632,0.116937257570898
"cfa_2x3_rep010","lm","factor",1000,700,300,1344,0.32,1.04111446093222,0.220731584395236
"cfa_2x3_rep010","xgboost","factor",1000,700,300,1344,0.32,1.15086644653975,0.0477741358991998
"cfa_2x3_rep010","lm","all",1000,700,300,1344,0.32,1.04053271873365,0.221602202726141
"cfa_2x3_rep010","xgboost","all",1000,700,300,1344,0.32,1.08018747426602,0.161142116091215
