"dataset_id","file","rho_X","replicate","N","p","r_betweenX","R2_target","R2_latent_emp","seed"
"rho60_rep001","data/sim/rho60_rep001.csv",0.6,1,1000,4,0,0.5,0.507332876214829,1101
"rho60_rep002","data/sim/rho60_rep002.csv",0.6,2,1000,4,0,0.5,0.521295224732102,1102
"rho60_rep003","data/sim/rho60_rep003.csv",0.6,3,1000,4,0,0.5,0.489518111051748,1103
"rho60_rep004","data/sim/rho60_rep004.csv",0.6,4,1000,4,0,0.5,0.497740247597539,1104
"rho60_rep005","data/sim/rho60_rep005.csv",0.6,5,1000,4,0,0.5,0.49822885723365,1105
"rho60_rep006","data/sim/rho60_rep006.csv",0.6,6,1000,4,0,0.5,0.499680846228774,1106
"rho60_rep007","data/sim/rho60_rep007.csv",0.6,7,1000,4,0,0.5,0.496113202465711,1107
"rho60_rep008","data/sim/rho60_rep008.csv",0.6,8,1000,4,0,0.5,0.466649128931696,1108
"rho60_rep009","data/sim/rho60_rep009.csv",0.6,9,1000,4,0,0.5,0.471128010460188,1109
"rho60_rep010","data/sim/rho60_rep010.csv",0.6,10,1000,4,0,0.5,0.555606557636122,1110
"rho60_rep011","data/sim/rho60_rep011.csv",0.6,11,1000,4,0,0.5,0.48248285818051,1111
"rho60_rep012","data/sim/rho60_rep012.csv",0.6,12,1000,4,0,0.5,0.524788372190519,1112
"rho60_rep013","data/sim/rho60_rep013.csv",0.6,13,1000,4,0,0.5,0.488636002810201,1113
"rho60_rep014","data/sim/rho60_rep014.csv",0.6,14,1000,4,0,0.5,0.5286729588768,1114
"rho60_rep015","data/sim/rho60_rep015.csv",0.6,15,1000,4,0,0.5,0.520023117375452,1115
"rho60_rep016","data/sim/rho60_rep016.csv",0.6,16,1000,4,0,0.5,0.490153320689501,1116
"rho60_rep017","data/sim/rho60_rep017.csv",0.6,17,1000,4,0,0.5,0.501523851341733,1117
"rho60_rep018","data/sim/rho60_rep018.csv",0.6,18,1000,4,0,0.5,0.521858429772579,1118
"rho60_rep019","data/sim/rho60_rep019.csv",0.6,19,1000,4,0,0.5,0.51342244038508,1119
"rho60_rep020","data/sim/rho60_rep020.csv",0.6,20,1000,4,0,0.5,0.536573488311995,1120
"rho60_rep021","data/sim/rho60_rep021.csv",0.6,21,1000,4,0,0.5,0.519558749635888,1121
